"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 16 10:52:18 CST 2022","Sun Jan 16 10:55:48 CST 2022","210851","","OMNI CHANNEL","","OMNI CHANNEL","CX agent can update cases to resovled status through Interactions tab","CX agent can update cases to resovled status through Interactions tab","Validate CX agent is able to receive a case through Omni-Channel and update case to resovled status through Interactions tab (Omni-Channel Validation E2E)"
"passed","Sun Jan 16 09:33:05 CST 2022","Sun Jan 16 09:35:24 CST 2022","139686","","ARTICLE HEADER VALIDATION","","ARTICLE HEADER VALIDATION","Article Header Vaidation - Test 5","Article Header Vaidation - Test 5","Validate the article header for combination of category, sub-category and detail-category"
"failed","Sat Jan 15 21:29:52 CST 2022","Sat Jan 15 21:31:56 CST 2022","123712","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to to CS Client Support 2 queue","Route case to to CS Client Support 2 queue","Validate case created using community page gets assigned to CS Client Support 2 queue"
"broken","Sun Jan 16 09:58:47 CST 2022","Sun Jan 16 10:01:17 CST 2022","149802","","OMNI SUPERVISOR","","OMNI SUPERVISOR","Omni-supervisor is able to set different skills for CX Agent","Omni-supervisor is able to set different skills for CX Agent","Validate the omni-supervisor is able to change Skills for CX Agents"
"passed","Sun Jan 16 10:56:03 CST 2022","Sun Jan 16 10:58:45 CST 2022","162440","","OMNI CHANNEL","","OMNI CHANNEL","Validate ToolKit URL query string contains Case-ID,Twitch User-ID, Case Number","Validate ToolKit URL query string contains Case-ID,Twitch User-ID, Case Number",""
"failed","Sat Jan 15 21:32:19 CST 2022","Sat Jan 15 21:34:25 CST 2022","126167","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS General Support 2 queue","Route case to CS General Support 2 queue","Validate case created using community page gets assigned to CS General Support 2 queue"
"broken","Sun Jan 16 10:58:50 CST 2022","Sun Jan 16 11:01:04 CST 2022","133987","","OMNI CHANNEL","","OMNI CHANNEL","CX Agent can transfer a Case to a differnt Agent","CX Agent can transfer a Case to a differnt Agent","Validate CX agent is able to transfer a case using Omni-Channel and Owner of the case changes to the transferred agent"
"failed","Sat Jan 15 21:36:49 CST 2022","Sat Jan 15 21:38:46 CST 2022","117097","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS Login Issues 3 queue","Route case to CS Login Issues 3 queue","Validate case created using community page gets assigned to CS Login Issues 3 queue"
"failed","Sat Jan 15 21:25:12 CST 2022","Sat Jan 15 21:27:15 CST 2022","123017","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS App Support [External] 2 queue","Route case to CS App Support [External] 2 queue","Validate case created using community page gets assigned to CS App Support [External] 2 queue"
"broken","Sat Jan 15 23:48:18 CST 2022","Sat Jan 15 23:49:42 CST 2022","83334","","COMMUNITY USER ACCOUNT","","COMMUNITY USER ACCOUNT","Create an account in Salesforce","Create an account in Salesforce","Create a community user/contact/account at community user page and capture the details for the created user/contact/account from the report page in salesforce"
"failed","Sat Jan 15 21:27:42 CST 2022","Sat Jan 15 21:29:43 CST 2022","121139","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS Client Support 1 queue","Route case to CS Client Support 1 queue","Validate case created using community page gets assigned to CS Client Support 1 queue"
"failed","Sat Jan 15 21:42:02 CST 2022","Sat Jan 15 21:43:58 CST 2022","116377","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS Purchase Support Fraud queue","Route case to CS Purchase Support Fraud queue","Validate case created using community page gets assigned to CS Purchase Support Fraud queue"
"failed","Sat Jan 15 21:43:40 CST 2022","Sat Jan 15 21:45:38 CST 2022","117643","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS Suspension Appeals 1 queue","Route case to CS Suspension Appeals 1 queue","Validate case created using community page gets assigned to CS Suspension Appeals 1 queue"
"broken","Sun Jan 16 11:01:24 CST 2022","Sun Jan 16 11:04:34 CST 2022","190045","","OMNI CHANNEL","","OMNI CHANNEL","Validation: Transfer E2E (Negative)","Validation: Transfer E2E (Negative)","Validate CX agent is able to transfer a case using Omni-Channel to an agent who does not have the same skill and that case is not routed to the agent through Omni-Channel (Omni-Channel Validation: Transfer E2E (Negative)"
"passed","Sun Jan 16 09:32:52 CST 2022","Sun Jan 16 09:35:19 CST 2022","146756","","ARTICLE HEADER VALIDATION","","ARTICLE HEADER VALIDATION","Article Header Vaidation - Test 4","Article Header Vaidation - Test 4","Validate the article header for combination of category, sub-category and detail-category"
"failed","Sat Jan 15 21:39:10 CST 2022","Sat Jan 15 21:41:12 CST 2022","121752","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS Login Issues 5 queue","Route case to CS Login Issues 5 queue","Validate case created using community page gets assigned to CS Login Issues 5 queue"
"failed","Sat Jan 15 21:25:08 CST 2022","Sat Jan 15 21:27:08 CST 2022","120128","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS App Support [External] 1 queue","Route case to CS App Support [External] 1 queue","Validate case created using community page gets assigned to CS App Support [External] 1 queue"
"passed","Sun Jan 16 10:53:28 CST 2022","Sun Jan 16 10:58:24 CST 2022","295853","","OMNI CHANNEL","","OMNI CHANNEL","CX agent can set different Omni-Channel status","CX agent can set different Omni-Channel status","Validate CX agent is able to set different omni-channel status correctly"
"broken","Sun Jan 16 09:55:43 CST 2022","Sun Jan 16 09:58:28 CST 2022","165072","","OMNI SUPERVISOR","","OMNI SUPERVISOR","Omni-supervisor is able to set different status for CX Agent","Omni-supervisor is able to set different status for CX Agent","Validate the omni-supervisor is able to set different status correctly for CX Agent"
"passed","Sun Jan 16 09:35:36 CST 2022","Sun Jan 16 09:37:54 CST 2022","138199","","ARTICLE HEADER VALIDATION","","ARTICLE HEADER VALIDATION","Article Header Vaidation - Test 6","Article Header Vaidation - Test 6","Validate the article header for combination of category, sub-category and detail-category"
"failed","Sat Jan 15 21:22:38 CST 2022","Sat Jan 15 21:24:48 CST 2022","130042","","CASE ASSIGNMENT","","CASE ASSIGNMENT","Route case to CS Affiliate 2 queue","Route case to CS Affiliate 2 queue","Validate case created using community page gets assigned to CS Affiliate 2 queue"
"passed","Sun Jan 16 09:22:16 CST 2022","Sun Jan 16 09:24:37 CST 2022","141189","","CREDIT CARD RESTRICTION","","CREDIT CARD RESTRICTION","Validate credit-card restriction using English language","Validate credit-card restriction using English language","Validate that an error is displayed in English language to the user when a credit card number is entered in Subject and Description field on Community user page"
